City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,Tupik,54.4253,119.9327,0.97,97,100,2.8,RU,2022-11-20 22:50:58
140,Tver,56.8619,35.8931,17.94,96,84,1.79,RU,2022-11-20 22:50:58
141,Antsohihy,-14.8796,47.9875,74.79,91,27,1.88,MG,2022-11-20 22:50:59
142,Powell,40.1578,-83.0752,28.4,43,0,10.36,US,2022-11-20 22:50:59
143,Kedougou,12.5579,-12.1743,81.18,44,0,2.3,SN,2022-11-20 22:50:59
144,Kulu,39.0951,33.0799,52.29,70,99,3.74,TR,2022-11-20 22:50:59
145,Svetlogorsk,52.6333,29.7333,24.82,96,100,9.31,BY,2022-11-20 22:51:00
146,Coahuayana,18.7333,-103.6833,82.26,72,100,4.52,MX,2022-11-20 22:45:19
147,Maghar,32.8898,35.407,66.45,43,41,9.13,IL,2022-11-20 22:51:00
148,Pacifica,37.6138,-122.4869,67.24,40,75,10.0,US,2022-11-20 22:49:01
149,Scarborough,54.2797,-0.4044,40.66,90,75,3.0,GB,2022-11-20 22:51:00
150,La Palma,33.8464,-118.0467,80.87,21,20,8.05,US,2022-11-20 22:51:01
151,Shimoda,34.6667,138.95,57.11,90,100,15.84,JP,2022-11-20 22:41:44
152,Ciumeghiu,46.7333,21.5833,37.92,84,100,5.14,RO,2022-11-20 22:51:01
153,Mount Gambier,-37.8333,140.7667,49.5,74,88,17.27,AU,2022-11-20 22:46:33
154,Kavieng,-2.5744,150.7967,84.24,62,93,12.88,PG,2022-11-20 22:51:01
155,Aquidauana,-20.4711,-55.7872,88.48,33,34,6.33,BR,2022-11-20 22:51:02
156,Nador,35.174,-2.9287,59.25,72,0,4.61,MA,2022-11-20 22:51:02
157,Cape Town,-33.9258,18.4232,63.09,68,0,13.8,ZA,2022-11-20 22:46:59
158,Trairi,-3.2778,-39.2689,79.5,76,43,11.39,BR,2022-11-20 22:49:47
159,Aberdeen,57.1437,-2.0981,36.5,100,100,3.44,GB,2022-11-20 22:51:02
160,Te Anau,-45.4167,167.7167,60.44,74,100,2.59,NZ,2022-11-20 22:51:02
161,Wadi Musa,30.3222,35.4793,52.7,61,41,10.56,JO,2022-11-20 22:51:03
162,Porbandar,21.6422,69.6093,74.55,38,0,5.91,IN,2022-11-20 22:51:03
163,Shitkino,56.3703,98.3543,2.43,92,82,4.18,RU,2022-11-20 22:51:03
164,Novouzensk,50.4592,48.1431,36.41,90,100,4.5,RU,2022-11-20 22:50:09
165,Chuy,-33.6971,-53.4616,68.25,84,100,14.18,UY,2022-11-20 22:51:04
166,Daryapur,20.9333,77.3333,58.37,49,32,4.18,IN,2022-11-20 22:51:04
167,Mar Del Plata,-38.0023,-57.5575,62.1,96,100,17.27,AR,2022-11-20 22:51:04
168,Cayenne,4.9333,-52.3333,80.64,78,100,0.0,GF,2022-11-20 22:38:14
169,Coihaique,-45.5752,-72.0662,57.15,44,20,8.05,CL,2022-11-20 22:48:11
170,Avarua,-21.2078,-159.775,77.05,61,75,16.11,CK,2022-11-20 22:51:05
171,San Cristobal,7.7669,-72.225,71.78,96,72,0.63,VE,2022-11-20 22:51:05
172,Barrow,71.2906,-156.7887,23.02,74,100,13.8,US,2022-11-20 22:51:05
173,Aklavik,68.2191,-135.0107,7.03,100,91,3.36,CA,2022-11-20 22:51:06
174,Poum,-20.2333,164.0167,80.01,78,47,11.9,NC,2022-11-20 22:41:42
175,Vardo,70.3705,31.1107,35.58,87,100,9.22,NO,2022-11-20 22:51:06
176,Russell,32.3502,-85.1999,47.43,42,0,9.22,US,2022-11-20 22:45:26
177,Lucapa,-8.4192,20.7447,64.99,97,89,2.89,AO,2022-11-20 22:51:06
178,Jamestown,42.097,-79.2353,22.71,78,100,12.66,US,2022-11-20 22:47:44
179,Chirongui,-12.9319,45.1483,78.73,78,17,7.58,YT,2022-11-20 22:51:06
180,North Battleford,52.7834,-108.2847,33.89,64,0,13.8,CA,2022-11-20 22:51:07
181,Cabo Rojo,18.0866,-67.1457,80.98,89,17,9.66,PR,2022-11-20 22:51:07
182,Pringsewu,-5.3582,104.9744,72.5,95,91,3.94,ID,2022-11-20 22:51:07
183,Bahia Blanca,-38.7196,-62.2724,63.28,61,8,1.01,AR,2022-11-20 22:51:08
184,Chokurdakh,70.6333,147.9167,-33.9,100,96,4.65,RU,2022-11-20 22:51:08
185,Cidreira,-30.1811,-50.2056,70.38,82,87,23.76,BR,2022-11-20 22:51:08
186,Muhos,64.808,25.9931,10.18,94,5,2.8,FI,2022-11-20 22:52:09
187,Maldonado,-34.6667,-54.9167,69.22,97,100,13.51,UY,2022-11-20 22:52:09
188,Korla,41.7597,86.1469,34.3,42,8,3.4,CN,2022-11-20 22:52:09
189,Agadir,30.4202,-9.5982,59.45,50,1,5.21,MA,2022-11-20 22:52:10
190,Yumen,40.2833,97.2,31.82,31,100,1.72,CN,2022-11-20 22:44:13
191,Palencia,42.4167,-4.5,52.92,98,100,6.93,ES,2022-11-20 22:52:10
192,Beckley,37.7782,-81.1882,29.32,41,0,2.62,US,2022-11-20 22:52:10
193,Pitimbu,-7.4706,-34.8086,79.39,72,94,11.92,BR,2022-11-20 22:48:51
194,Meulaboh,4.1363,96.1285,74.34,94,100,4.23,ID,2022-11-20 22:42:53
195,Waingapu,-9.6567,120.2641,81.05,77,100,0.54,ID,2022-11-20 22:52:11
196,Bethel,41.3712,-73.414,32.09,42,0,11.5,US,2022-11-20 22:51:32
197,Arraial Do Cabo,-22.9661,-42.0278,75.06,83,0,9.22,BR,2022-11-20 22:52:11
198,Komsomolskiy,40.4272,71.7189,38.12,87,41,6.91,UZ,2022-11-20 22:52:11
199,Laizhou,37.1717,119.9214,53.71,93,100,8.5,CN,2022-11-20 22:52:12
200,Kasama,-10.2129,31.1808,65.34,65,43,3.09,ZM,2022-11-20 22:52:12
201,Klamath Falls,42.2249,-121.7817,41.05,48,0,1.99,US,2022-11-20 22:51:19
202,Takoradi,4.8845,-1.7554,77.76,85,96,5.44,GH,2022-11-20 22:52:12
203,Airai,-8.9266,125.4092,63.32,89,100,1.68,TL,2022-11-20 22:47:44
204,San Pedro De Macoris,18.4616,-69.2972,82.53,89,15,9.84,DO,2022-11-20 22:52:13
205,Geraldton,-28.7667,114.6,68.41,40,0,8.05,AU,2022-11-20 22:49:24
206,Starosubkhangulovo,53.1031,57.4423,8.98,98,83,1.21,RU,2022-11-20 22:52:13
207,Pangoa,-12.1167,-73.0,75.97,82,100,2.01,PE,2022-11-20 22:52:14
208,Sheregesh,52.9209,87.9869,1.27,97,92,4.0,RU,2022-11-20 22:52:14
209,Deori Khas,23.4,79.0167,52.99,61,14,1.48,IN,2022-11-20 22:52:14
210,Pedernales,18.0384,-71.744,80.28,68,19,3.74,DO,2022-11-20 22:52:15
211,Port Elizabeth,-33.918,25.5701,56.1,87,0,3.44,ZA,2022-11-20 22:49:07
212,Okhotsk,59.3833,143.3,18.36,94,100,13.98,RU,2022-11-20 22:45:27
213,Waipawa,-41.4122,175.5153,65.12,63,62,15.23,NZ,2022-11-20 22:52:15
214,Helena,46.5927,-112.0361,34.99,60,0,3.44,US,2022-11-20 22:51:06
215,Sanghar,26.0466,68.9481,69.33,31,0,6.73,PK,2022-11-20 22:52:15
216,Bonthe,7.5264,-12.505,79.3,75,97,4.47,SL,2022-11-20 22:52:16
217,Nemuro,43.3236,145.575,51.91,74,100,22.28,JP,2022-11-20 22:49:48
218,Donskoy,53.9711,38.3363,20.61,98,100,5.7,RU,2022-11-20 22:52:16
219,Parnamirim,-5.9156,-35.2628,79.14,73,40,8.05,BR,2022-11-20 22:47:54
220,Dikson,73.5069,80.5464,-19.37,95,20,7.85,RU,2022-11-20 22:52:16
221,Luderitz,-26.6481,15.1594,63.64,68,95,15.73,NA,2022-11-20 22:52:17
222,Pemangkat,1.1667,108.9667,78.69,83,100,4.38,ID,2022-11-20 22:52:17
223,Qandala,11.472,49.8728,77.18,60,96,4.12,SO,2022-11-20 22:52:17
224,Kununurra,-15.7667,128.7333,82.38,83,40,5.75,AU,2022-11-20 22:52:18
225,Sorong,-0.8833,131.25,80.65,83,99,7.25,ID,2022-11-20 22:52:18
226,Fortuna,40.5982,-124.1573,60.93,63,0,8.05,US,2022-11-20 22:52:18
227,Ewo,-0.8725,14.8206,71.4,94,100,4.14,CG,2022-11-20 22:52:18
228,Itarema,-2.9248,-39.9167,79.5,78,47,15.75,BR,2022-11-20 22:52:19
229,Basco,20.4487,121.9702,80.91,75,100,22.64,PH,2022-11-20 22:52:19
230,Camacupa,-12.0167,17.4833,62.96,88,100,3.33,AO,2022-11-20 22:52:19
231,Broken Hill,-31.95,141.4333,56.7,45,69,20.76,AU,2022-11-20 22:52:20
232,Nalut,30.3333,10.85,49.41,47,0,6.53,LY,2022-11-20 22:53:20
233,Amazar,53.858,120.875,1.13,95,91,3.36,RU,2022-11-20 22:53:20
234,Melfort,52.8667,-104.6177,23.13,63,90,9.22,CA,2022-11-20 22:53:21
235,Pangnirtung,66.1451,-65.7125,-1.73,64,22,6.98,CA,2022-11-20 22:53:21
236,Comodoro Rivadavia,-45.8667,-67.5,58.86,44,0,18.41,AR,2022-11-20 22:53:21
237,Kaitangata,-46.2817,169.8464,64.24,67,70,6.73,NZ,2022-11-20 22:53:21
238,Westport,41.1415,-73.3579,33.84,37,0,11.5,US,2022-11-20 22:43:16
239,Plettenberg Bay,-34.0527,23.3716,57.38,76,0,2.86,ZA,2022-11-20 22:53:22
240,Mikhaylovka,50.06,43.2379,35.78,96,100,6.98,RU,2022-11-20 22:53:22
241,Crotone,39.0851,17.1178,57.2,76,100,3.44,IT,2022-11-20 22:53:22
242,Omsukchan,62.5333,155.8,-12.08,87,57,4.38,RU,2022-11-20 22:53:23
243,Turan,16.0678,108.2208,78.78,89,75,4.61,VN,2022-11-20 22:53:23
244,Maragogi,-9.0122,-35.2225,77.38,78,75,9.69,BR,2022-11-20 22:53:23
245,Jinchang,38.4953,102.1739,34.86,35,100,3.42,CN,2022-11-20 22:53:24
246,College,64.8569,-147.8028,18.99,90,40,0.0,US,2022-11-20 22:53:24
247,Rocha,-34.4833,-54.3333,67.75,88,100,4.25,UY,2022-11-20 22:46:30
248,Atar,20.5169,-13.0499,72.52,21,0,7.14,MR,2022-11-20 22:53:24
249,Khandyga,62.6667,135.6,-32.94,100,77,2.42,RU,2022-11-20 22:53:25
250,Amuntai,-2.4177,115.2494,75.85,96,99,0.81,ID,2022-11-20 22:53:25
251,Lodja,-3.4833,23.4333,68.7,96,72,1.57,CD,2022-11-20 22:53:25
252,Xuddur,4.1213,43.8894,74.91,76,89,13.15,SO,2022-11-20 22:53:25
253,Chauk,20.8833,94.8167,70.02,55,24,6.42,MM,2022-11-20 22:53:26
254,Guiratinga,-16.3494,-53.7583,77.77,59,27,6.73,BR,2022-11-20 22:53:26
255,Talnakh,69.4865,88.3972,-19.5,95,96,4.85,RU,2022-11-20 22:53:26
